Date,Open,High,Low,Close,Adj Close,Volume
"Jul 01, 2022",106.01,109.34,104.56,108.43,108.43,"3,05,338"
"Jun 30, 2022",109.7,110.45,105.1,105.76,105.76,"3,62,890"
"Jun 29, 2022",111.86,114.05,109.22,109.78,109.78,"3,22,060"
"Jun 28, 2022",110.18,112.22,109.62,111.76,111.76,"3,06,748"
"Jun 27, 2022",107.22,110.54,105.6,109.57,109.57,"2,82,914"
"Jun 24, 2022",103.99,108.58,103.64,107.62,107.62,"3,21,591"
"Jun 23, 2022",104.42,107.05,102.32,104.27,104.27,"3,46,362"
"Jun 22, 2022",109.54,109.76,101.53,106.19,106.19,"4,32,724"
"Jun 21, 2022",110.58,112.47,108.72,110.65,110.65,"4,27,262"
"Jun 20, 2022",110.58,110.95,108.72,110.27,110.27,"1,03,149"
"Jun 17, 2022",117.08,118.97,108.25,109.56,109.56,"1,03,149"
"Jun 16, 2022",115.98,118.08,112.31,117.59,117.59,"1,62,543"
"Jun 15, 2022",119.07,119.61,114.6,115.31,115.31,"3,01,750"
"Jun 14, 2022",121.09,123.68,116.62,118.93,118.93,"3,66,320"
"Jun 13, 2022",120.19,122.25,117.47,120.93,120.93,"3,72,403"
"Jun 10, 2022",121.46,122.75,118.33,120.67,120.67,"3,52,906"
"Jun 09, 2022",122.43,122.72,120.79,121.51,121.51,"2,93,295"
"Jun 08, 2022",119.79,123.18,119.3,122.11,122.11,"3,40,591"
"Jun 07, 2022",119.1,120.36,117.14,119.41,119.41,"3,41,694"
"Jun 06, 2022",120.82,120.99,117.63,118.5,118.5,"2,46,825"
"Jun 03, 2022",117.55,120.46,115.23,118.87,118.87,"2,40,831"
"Jun 02, 2022",114.8,117.77,111.2,116.87,116.87,"3,27,600"
"Jun 01, 2022",115.4,117.87,114.58,115.26,115.26,"2,90,530"
"May 31, 2022",114.96,119.98,114.15,114.67,114.67,"4,40,796"
"May 27, 2022",114.2,115.3,112.85,115.07,115.07,"2,17,281"
"May 26, 2022",110.69,114.83,110.27,114.09,114.09,"2,34,752"
"May 25, 2022",110.39,111.68,109.23,110.33,110.33,"1,91,370"
